purity	normFactor	score	diploidProportion	ploidy	somaticPenalty
0.6900	0.5770	0.7405	0.0000	4.1000	0.0000
0.7500	0.5452	0.7413	0.0000	4.2000	0.0000
0.3400	0.8383	0.7414	0.0000	3.1000	0.0000
0.3300	0.8306	0.7415	0.0000	3.2000	0.0000
0.4500	0.9861	0.7422	0.0000	2.0400	0.0000
0.3000	0.5543	0.7431	0.0000	7.3000	0.0000
0.7900	0.5559	0.7435	0.0000	4.0000	0.0000
0.5900	1.3333	0.7447	0.0000	1.1400	0.0000
0.4400	0.9491	0.7448	0.0000	2.2200	0.0000
0.6200	1.3567	0.7450	0.0000	1.1400	0.0000
0.8400	0.5229	0.7467	0.0000	4.1500	0.0000
0.3500	0.8283	0.7469	0.0000	3.1500	0.0000
0.4200	0.9867	0.7483	0.0000	2.0400	0.0000
0.3300	0.8249	0.7485	0.0000	3.2500	0.0000
0.4600	0.9683	0.7488	0.0000	2.1200	0.0000
0.7400	0.5485	0.7490	0.0000	4.2000	0.0000
0.3300	0.8363	0.7491	0.0000	3.1500	0.0000
0.5200	1.3352	0.7491	0.0000	1.0200	0.0000
0.2800	0.7607	0.7491	0.0000	4.2000	0.0000
0.8200	0.5406	0.7492	0.0000	4.0500	0.0000
0.6700	1.4667	0.7496	0.0000	1.0400	0.0000
0.2800	0.7527	0.7498	0.0000	4.3000	0.0000
0.5400	0.5338	0.7514	0.0000	5.2000	0.0000
0.7700	1.6179	0.7519	0.0000	1.0000	0.0000
0.3700	0.5542	0.7519	0.0000	6.3000	0.0000
0.4600	0.9640	0.7520	0.0000	2.1400	0.0000
0.5800	1.3359	0.7530	0.0000	1.1200	0.0000
0.6800	0.5863	0.7546	0.0000	4.0500	0.0000
0.7000	0.5853	0.7547	0.0000	4.0000	0.0000
0.7300	0.5519	0.7565	0.0000	4.2000	0.0000
0.5600	1.3820	0.7569	0.0000	1.0000	0.0000
0.4800	1.2929	0.7570	0.0000	1.0400	0.0000
0.5400	1.3432	0.7573	0.0000	1.0400	0.0000
0.8200	0.5231	0.7573	0.0000	4.2000	0.0000
0.8000	0.5528	0.7576	0.0000	4.0000	0.0000
0.7000	0.5678	0.7583	0.0000	4.1500	0.0000
0.3800	0.5476	0.7594	0.0000	6.3000	0.0000
0.4600	0.9597	0.7596	0.0000	2.1600	0.0000
0.4200	0.9588	0.7600	0.0000	2.1800	0.0000
0.4700	0.5679	0.7619	0.0000	5.2000	0.0000
